,coconut_id,contains_sugar,contains_ring_sugars,contains_linear_sugars,molecular_weight,npl_score,number_of_carbons,number_of_nitrogens,number_of_oxygens,fsp3,hBondAcceptorCount,hBondDonorCount,lipinskiRuleOf5Failures,numberSpiroAtoms,xlogp
0,CNP0220816,0,False,False,378.3739180436945,1.385090041772181,19,0,8,0.5263157894736841,8,4,0,0,0.40799999999999903
1,CNP0293916,0,False,False,416.42364206163205,0.8972662491004281,25,0,6,0.12,6,2,0,0,3.229
2,CNP0297651,0,False,False,517.6106023169389,2.04495446124903,25,1,10,0.88,11,3,2,0,-0.403
3,CNP0330764,0,False,False,416.5512891952753,2.158054658552278,25,0,5,0.76,5,2,0,0,3.829999999999999
4,CNP0125332,1,True,False,310.08994599311285,2.372085611051853,5,0,11,1.0,11,6,2,0,-4.77
5,CNP0356547,0,False,False,564.5809661985471,1.63985453230718,31,0,10,0.35483870967741904,10,5,1,0,0.778999999999999
6,CNP0168019,0,False,False,376.4125621096306,0.478466588349695,20,6,2,0.35000000000000003,8,0,0,0,-0.787999999999999
7,CNP0436856,0,False,False,451.54062814664303,0.5322791112421981,28,4,2,0.25,5,3,0,0,3.223
8,CNP0115481,0,False,False,440.7020429424166,2.325869347731094,30,0,2,0.8,2,2,1,0,7.909000000000004
9,CNP0209581,0,False,False,447.4409565397779,-0.0046612887585560005,24,3,6,0.208333333333333,9,1,0,0,0.554999999999999
10,CNP0221451,0,False,False,1576.7932195431954,1.267196125655623,74,17,21,0.5945945945945941,38,19,4,0,2.8780000000000063
11,CNP0151033,1,True,False,666.6681342714398,2.3760883977355762,32,0,15,0.59375,15,6,4,0,0.5
12,CNP0106606,0,False,False,570.6766051156602,1.597847703385204,34,2,6,0.41176470588235203,8,3,1,0,2.327
13,CNP0123398,0,False,False,884.2026927581678,1.7362757145577792,53,3,5,0.471698113207547,8,5,2,0,7.909999999999999
14,CNP0228820,0,False,False,342.34334517325254,1.642757155436592,19,0,6,0.210526315789473,6,3,0,0,2.728999999999999
15,CNP0314231,0,False,False,308.37011297506194,1.251028588287184,17,0,5,0.5882352941176471,5,0,0,0,2.050999999999999
16,CNP0369807,0,False,False,361.3897521494175,0.8796776934314451,19,1,6,0.421052631578947,7,2,0,0,1.693
17,CNP0115074,0,False,False,360.35863160847356,1.223280517261453,19,0,7,0.36842105263157804,7,1,0,0,1.9300000000000002
18,CNP0399488,0,False,False,302.4828306510756,1.069606789298468,12,2,1,0.6666666666666661,3,1,0,0,1.851
19,CNP0146662,0,False,False,290.290174175987,0.319879093295696,15,2,3,0.33333333333333304,3,2,0,0,1.021
20,CNP0291253,0,False,False,358.34275010082195,0.8308652626133821,19,0,7,0.210526315789473,7,1,0,0,2.4210000000000003
21,CNP0243650,0,False,False,252.30673734182534,2.250121678329839,14,0,4,0.8571428571428571,4,0,0,0,2.838
22,CNP0211838,0,False,False,570.7164335104674,1.395997908719671,36,0,6,0.388888888888888,6,2,2,0,6.919000000000002
23,CNP0436857,0,False,False,140.16007187794872,0.48992746525189906,7,1,2,0.28571428571428503,3,2,0,0,-0.356
24,CNP0436858,0,False,False,312.32711961038734,0.6065314456938641,15,6,2,0.2,8,4,0,0,-1.404
25,CNP0018860,0,False,False,352.4243875314325,1.241617880059946,22,0,4,0.36363636363636304,4,1,0,0,2.437
26,CNP0145813,0,False,False,481.1393685648797,0.659735761170103,14,5,4,0.35714285714285704,9,6,1,0,0.9679999999999991
27,CNP0079465,0,False,False,652.8155276250094,1.78422862057517,38,0,9,0.684210526315789,9,3,1,0,4.898
28,CNP0298418,0,False,False,760.9552406304936,2.178031235811691,41,2,11,0.902439024390243,13,9,3,0,1.6329999999999991
29,CNP0159490,0,False,False,411.9252422800252,0.22131336329535903,23,3,2,0.39130434782608703,5,0,0,0,1.909
30,CNP0043336,0,False,False,432.6055876090288,0.27913479686346304,21,4,2,0.5238095238095231,6,2,0,0,0.43500000000000005
31,CNP0224557,0,False,False,660.7928656865722,2.495216841304389,36,0,11,0.777777777777777,11,3,2,0,2.63
32,CNP0156577,0,False,False,428.47420230309774,2.279735408639697,21,0,9,0.8571428571428571,9,2,0,0,1.15
33,CNP0018823,0,False,False,505.114742482914,0.356141961320579,17,1,1,0.35294117647058804,0,0,1,0,4.376000000000001
34,CNP0290330,0,False,False,370.48929913060437,0.6788966402967801,21,4,2,0.5238095238095231,6,3,0,0,1.96
35,CNP0262118,0,False,False,112.1698452509949,1.602004198353181,7,0,1,0.7142857142857141,1,0,0,0,1.811
36,CNP0018521,0,False,False,1455.670177088474,1.313503413381919,60,18,17,0.5,35,18,4,0,-1.6849999999999952
37,CNP0128179,0,False,False,558.7487915982011,1.35046482319188,36,0,5,0.47222222222222204,5,0,3,0,10.462000000000007
38,CNP0063031,0,False,False,427.48944133639014,1.903410345478966,21,1,8,0.7142857142857141,7,2,0,0,-0.166999999999999
39,CNP0311571,0,False,False,229.3594800737151,1.7402050464466141,13,1,2,1.0,3,2,0,0,1.577
40,CNP0175948,0,False,False,523.7046104642594,1.9519636607925182,32,1,5,0.7812500000000001,6,1,2,1,6.773999999999999
41,CNP0334084,0,False,False,496.54994865304434,2.022159692933367,28,0,8,0.392857142857142,8,4,0,0,4.445
42,CNP0158782,0,False,False,909.0711096529382,1.520620674547469,56,0,11,0.41071428571428503,11,3,3,0,8.188000000000004
43,CNP0120420,0,False,False,442.59517367593213,0.851256360660504,25,4,3,0.64,7,1,0,0,2.088
